Brand,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l
Alvis,,Earley Engineering Ltd,service,United States,Hereford,"Gooses Foot Industrial Estate, Kingstone, Hereford HR2 9HY, UK",CGC,Gloucester,"6,146","15,745","2,073","4,074",820
Alvis,,Fisher Restoration Ltd,service,,,"1 The Old Works, Chateau Impney Estate, Droitwich WR9 0FF, UK",NNG,,"3,584","10,614","1,215","2,369",481
Alvis,,Milford Vintage Engineering Ltd,service,,,"Main Street, Kirkmichael By Blairgowrie PH10 7NT, UK",NNG,,"3,584","10,614","1,215","2,369",481
Alvis,,Red Triangle,service,United Kingdom,Kenilworth,"Common Lane, Kenilworth, Warwickshire CV8 2EL, UK",BYG,Buffalo Grove,"2,366","7,690",807,"1,558",319
American Brands,1.0,Adams Classic Cars,spare parts,Netherlands,Zwolle,"Handelsweg 13, 3881 LS Putten, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,6.0,American Cars By BDC,service,Belgium,Zwijndrecht,"Nijverheidslaan 14, Gullegem 8560 Wevelgem, Belgium",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,9.0,Catalina USA Parts BV,spare parts,Netherlands,Zwolle,"Tolhuisweg 14, 6071 RG Swalmen, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,2.0,Heideveld Classics,service,Netherlands,Zwolle,"Nervistraat 18, 8013 RS Zwolle, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,5.0,RD Classics,service,Netherlands,Zwolle,"Terborgseweg 61c, 7084 AD Breedenbroek, Netherlands",HLM,Holland,"1,850","6,322",634,"1,215",251
American Brands,,115 Longitude West,service,France,Yerres,"115 Chemin de Fontchatou, 26300 Chatuzange Le Goubet, France",AVO,Avon,"1,998","6,735",684,"1,314",271
American Brands,,34 Motor CO,service,United States,Derby,"41 Derby Ave, Derby, CT 06418, USA",DCN,Derby,,,,,
American Brands,,500 Classic Auto Sales,service,,,"7791 IN-109, Knightstown, IN 46148, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,A&E Classic Cars,service,,,"6401 Interstate 35, New Braunfels, TX 78132, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,AB Classics,service,,,"4185 U.S. 11, Malone, NY 12953, USA",NNG,,"3,584","10,614","1,215","2,369",481
American Brands,,ACP American Cars & Parts,service,Switzerland,Zürich,"Industriestrasse 38, 6074 Giswil, Switzerland",ZRH,Zürich,427,"1,770",158,269,45
American Brands,,ACP Euskirchen,service,Germany,Zwickau,"An der Vogelrute 39, 53879 Euskirchen, Germany",HOF,Hof,"1,623","5,691",559,"1,065",221
American Brands,,Adventure Classic Cars Inc.,service,United States,Clearwater,"1916 Calumet Street, Clearwater, FL 33765, USA",CLW,Clearwater,"1,911","6,492",655,"1,256",259
American Brands,,Alders Automotive,spare parts,United States,Northfield,"Unit 5 Northfield Business Park, Lower Dicker, Hailsham, East Sussex BN27 4BZ, UK",FAM,Farmington,"2,053","6,889",703,"1,351",278
American Brands,,Alternative Cars,service,France,Yerres,"24460 Saint-Front-d'Alemps, France",AVO,Avon,"1,998","6,735",684,"1,314",271
American Brands,,Amatrade GmbH US Car Parts Import,spare parts,Switzerland,Zürich,"Angelgasse 7B, 6317 Oberwil bei Zug, Switzerland",ZRH,Zürich,427,"1,770",158,269,45
