Category,Version,Supplier,Supplier_type,Country,City,Address,IATA,City_airport,climate_impact_kg_co2,flight_distance_km,co2_emissions_kg,climate_impact_of_contrails_ozone_formation_etc_kg,Fuel_consumption_l,total_climate_impact
Alfa Romeo,,AlfaStrada,spare parts,Netherlands,Zwolle,"Perspectief 10, 3892 GD Zeewolde, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Alfisti Shop,spare parts,Germany,Zwickau,"Dieksdamm 6, 32825 Blomberg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Bertelsbeck Automotive GmbH,spare parts,Germany,Zwickau,"Schulze-Delitzsch-Straße 4, 59348 Lüdinghausen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Centerline International,spare parts,United States,Lafayette,"1450 Overlook Drive, Lafayette, CO 80026, USA",LAF,Lafayette,1912.0,6495.0,655.0,1257.0,259.0,3169.0
Alfa Romeo,,Classic Alfa,spare parts,United Kingdom,Mitcham,"Unit 21 The IO Centre, 57a Croydon Rd, Mitcham, Croydon CR4 4JA, UK",NEW,New Malden,2216.0,7311.0,757.0,1459.0,299.0,3675.0
Alfa Romeo,,Classic Alfa Parts,spare parts,Netherlands,Zwolle,"Van der Heijdenstraat 12, 7102 JA Winterswijk, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,EB Spares Ltd,spare parts,United States,Westbury,"31 Link Rd, West Wilts Trading Estate, Westbury BA13 4LS, UK",VLY,Valley Stream,2657.0,8428.0,905.0,1752.0,358.0,4409.0
Alfa Romeo,,Frank Hanel GmbH,spare parts,Germany,Zwickau,"Hamelner Straße 36, 32683 Barntrup, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,G. Häckner GmbH,spare parts,Germany,Zwickau,"Rudolf-Diesel-Straße 31, 32683 Schweinfurt, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Goos Van Pelt Centro Ricambi,spare parts,Netherlands,Zwolle,"Bagijnhof 31, 4264 AZ Veen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,OKP Parts & Engineering GmbH,spare parts,Germany,Zwickau,"Xaver-Weismor-Straße 94, 81829 München, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
Alfa Romeo,,Scuderia 116,spare parts,France,Yerres,"30 Rue de la Gare, 79250 Nueil-les-Aubiers, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Alfa Romeo,,Socaro sprl,spare parts,Belgium,Zwijndrecht,"Avenue Albert 1er 181, Genval 1332 Rixensart, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,The Spare Place,spare parts,Australia,Whyalla,"202 Portrush Road, Trinity Gardens SA 5068, Australia",WYA,Whyalla,6789.0,17032.0,2288.0,4501.0,905.0,11290.0
Alfa Romeo,,Van Lingen Alfa Parts BV,spare parts,Netherlands,Zwolle,"Fortweg 5, 3992 LX Houten, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
Alfa Romeo,,Victor Parts,spare parts,France,Yerres,"15ter Bd Jean Moulin, 44100 Nantes, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
Allard,,Allard Sportscars,service,United States,Berkeley,"Gloucestershire Science & Technology Park, Berkeley GL13 9FB, UK",OAK,Oakland,2948.0,9165.0,1002.0,1946.0,396.0,4894.0
Alvis,,Chris Prince Ltd,service,,,"Crosemere, Cockshutt, Ellesmere SY12 0JP, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Alvis,,Earley Engineering Ltd,service,United States,Hereford,"Gooses Foot Industrial Estate, Kingstone, Hereford HR2 9HY, UK",CGC,Gloucester,6146.0,15745.0,2073.0,4074.0,820.0,10220.0
Alvis,,Fisher Restoration Ltd,service,,,"1 The Old Works, Chateau Impney Estate, Droitwich WR9 0FF, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Alvis,,Milford Vintage Engineering Ltd,service,,,"Main Street, Kirkmichael By Blairgowrie PH10 7NT, UK",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
Alvis,,Red Triangle,service,United Kingdom,Kenilworth,"Common Lane, Kenilworth, Warwickshire CV8 2EL, UK",BYG,Buffalo Grove,2366.0,7690.0,807.0,1558.0,319.0,3924.0
American Brands,1.0,Adams Classic Cars,spare parts,Netherlands,Zwolle,"Handelsweg 13, 3881 LS Putten, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,6.0,American Cars By BDC,service,Belgium,Zwijndrecht,"Nijverheidslaan 14, Gullegem 8560 Wevelgem, Belgium",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,9.0,Catalina USA Parts BV,spare parts,Netherlands,Zwolle,"Tolhuisweg 14, 6071 RG Swalmen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,2.0,Heideveld Classics,service,Netherlands,Zwolle,"Nervistraat 18, 8013 RS Zwolle, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,5.0,RD Classics,service,Netherlands,Zwolle,"Terborgseweg 61c, 7084 AD Breedenbroek, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,,115 Longitude West,service,France,Yerres,"115 Chemin de Fontchatou, 26300 Chatuzange Le Goubet, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
American Brands,,34 Motor CO,service,United States,Derby,"41 Derby Ave, Derby, CT 06418, USA",DCN,Derby,,,,,,
American Brands,,500 Classic Auto Sales,service,,,"7791 IN-109, Knightstown, IN 46148, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,A&E Classic Cars,service,,,"6401 Interstate 35, New Braunfels, TX 78132, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,AB Classics,service,,,"4185 U.S. 11, Malone, NY 12953, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,ACP American Cars & Parts,service,Switzerland,Zürich,"Industriestrasse 38, 6074 Giswil, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
American Brands,,ACP Euskirchen,service,Germany,Zwickau,"An der Vogelrute 39, 53879 Euskirchen, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
American Brands,,Adventure Classic Cars Inc.,service,United States,Clearwater,"1916 Calumet Street, Clearwater, FL 33765, USA",CLW,Clearwater,1911.0,6492.0,655.0,1256.0,259.0,3167.0
American Brands,,Alders Automotive,spare parts,United States,Northfield,"Unit 5 Northfield Business Park, Lower Dicker, Hailsham, East Sussex BN27 4BZ, UK",FAM,Farmington,2053.0,6889.0,703.0,1351.0,278.0,3404.0
American Brands,,Alternative Cars,service,France,Yerres,"24460 Saint-Front-d'Alemps, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
American Brands,,Amatrade GmbH US Car Parts Import,spare parts,Switzerland,Zürich,"Angelgasse 7B, 6317 Oberwil bei Zug, Switzerland",ZRH,Zürich,427.0,1770.0,158.0,269.0,45.0,696.0
American Brands,,American Auto Parts,spare parts,Argentina,Lincoln,"388 Lincoln Road, Addington, Christchurch 8011, New Zealand",LNK,Lincoln,2174.0,7205.0,743.0,1431.0,294.0,3605.0
American Brands,,American Auto Services,service,Canada,West End,"130 West End Lane, Harlington, Hayes UB3 5LY, UK",WTD,West End,1939.0,6572.0,665.0,1275.0,263.0,3214.0
American Brands,,American Automobile,service,France,Yerres,"79 Rue Principale, 67360 Oberdorf-Spachbach, France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
American Brands,,American Autoparts,spare parts,United Kingdom,Redhill,"74 Holmethorpe Avenue, Holmethorpe, Redhill RH1 2NL, UK",NEW,New Malden,2216.0,7311.0,757.0,1459.0,299.0,3675.0
American Brands,,American Classic Car Sales,service,United States,Sarasota,"1683 Cattlemen Rd, Sarasota, FL 34232, USA",SRQ,Sarasota,2033.0,6834.0,696.0,1337.0,275.0,3370.0
American Brands,,American Classic Cars,service,,,"2282 E Arrow Hwy, La Verne, L A, CA 91750, USA",NNG,,3584.0,10614.0,1215.0,2369.0,481.0,5953.0
American Brands,,American Customs & Classics,service,New Zealand,Wellington,"26 Unsworth Road, Hamurana 3095, New Zealand",WLG,Wellington,8095.0,19647.0,2725.0,5370.0,1078.0,13465.0
American Brands,,American Dream Machines,service,United States,Des Moines,"1500 Locust Street, Des Moines, IA 50309, USA",DSM,Des Moines,2072.0,6941.0,709.0,1363.0,280.0,3435.0
American Brands,,American Historic Cars,service,France,Yerres,"2 Rue de l'Escudié, 11100 Montredon-des-Corbières France",AVO,Avon,1998.0,6735.0,684.0,1314.0,271.0,3312.0
American Brands,,American Muscle Motorsports & Services,service,Germany,Zwickau,"Wallonischer Ring 43, 52222 Stolberg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
American Brands,,American Parts Depot,spare parts,United Kingdom,Manchester,"409 Main St West Manchester, OH 45382, USA",MHT,Manchester,1445.0,5195.0,499.0,946.0,197.0,2391.0
American Brands,,American Parts Service Centre 2000,spare parts,New Zealand,Wellington,"21-23 Selwyn Street, Onehunga, Auckland 1061, New Zealand",WLG,Wellington,8095.0,19647.0,2725.0,5370.0,1078.0,13465.0
American Brands,,American Special Parts Austria,spare parts,Austria,Wolfsberg,"Dragonerstraße 22, 4600 Wels, Austria",VCE,Venice,503.0,1964.0,185.0,318.0,73.0,821.0
American Brands,,American Used,service,Australia,Whyalla,"54 Mornington-Tyabb Rd, Tyabb VIC 3913, Australia",WYA,Whyalla,6789.0,17032.0,2288.0,4501.0,905.0,11290.0
American Brands,,Andrees KFZ-Meisterbetrieb,service,Germany,Zwickau,"Ostkamp 15, 26203 Wardenburg, Germany",HOF,Hof,1623.0,5691.0,559.0,1065.0,221.0,2688.0
American Brands,,AP Vintage Motors LLC,service,United States,Statesville,"340 S Meeting St, Statesville, NC 28677, USA",SVH,Statesville,1824.0,6251.0,626.0,1198.0,248.0,3022.0
American Brands,,Arena Motor Sales LLC,service,United States,Columbus,"867 Reynolds Ave, Columbus, OH 43201, USA",CLU,Columbus,1907.0,6481.0,654.0,1253.0,259.0,3160.0
American Brands,,Arizona USA Cars,service,Netherlands,Zwolle,"2e Industrieweg 8, 4147 CT Asperen, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,,Arton USA Cars & Parts,spare parts,Belgium,Zwijndrecht,"W. Snelliusweg 39, 3331 EX Zwijndrecht, Netherlands",HLM,Holland,1850.0,6322.0,634.0,1215.0,251.0,3065.0
American Brands,,Australian Muscle Car Sales,service,Australia,Whyalla,"26-28 Barry Ave, Mortdale NSW 2223, Australia",WYA,Whyalla,6789.0,17032.0,2288.0,4501.0,905.0,11290.0
American Brands,,Auto Investors,service,United States,Dothan,"634 S Shady Ln, Dothan, AL 36301, USA",DHN,Dothan,2041.0,6853.0,698.0,1342.0,276.0,3383.0
